Category,Sub_Category,Id,Description
0,A,0A998_b_2,"Hydraulic fracturing 'proppant,' 'fracking fluid,' and chemical additives therefor."
0,A,0A998_b_3,"High pressure pumps."
0,A,0A999,"Specific Processing Equipment, as Follows (See List of Items Controlled)."
0,A,0A999_a,"Ring Magnets;"
0,A,0A999_b,Reserved.
0,B,0B501_a,"Small arms chambering machines."
0,B,0B501_b,"Small arms deep hole drilling machines and drills therefor."
0,B,0B501_c,"Small arms rifling machines."
0,B,0B501_d,"Small arms boring/reaming machines."
0,B,0B505_b,"Equipment “specially designed” for the “production” of commodities in ECCN 0A505.b."
0,B,0B505_c,"Equipment “specially designed” for the “production” of commodities in ECCN 0A505.c."
0,B,0B505_d,"Equipment “specially designed” for the “production” of commodities in ECCN 0A505.d."
0,B,"0B505_e_ throughw",[Reserved]
0,B,0B505_x,"“Parts” and “components” “specially designed” for a commodity subject to control in paragraph .a of this entry."
0,B,0B602_a,"The following commodities if “specially designed” for the “development” or “production” of commodities enumerated in ECCN 0A602.a or USML Category II:"
0,B,0B602_a_1,"Gun barrel rifling and broaching machines and tools therefor;"
0,B,0B602_a_2,"Gun barrel rifling machines;"
0,B,0B602_a_3,"Gun barrel trepanning machines;"
0,B,0B602_a_4,"Gun boring and turning machines;"
0,B,0B602_a_5,"Gun honing machines of 6 feet (183 cm) stroke or more;"
0,B,0B602_a_6,"Gun jump screw lathes;"
0,B,0B602_a_7,"Gun rifling machines; and"
0,B,0B602_a_8,"Barrel straightening presses."
0,B,0B602_c,"Other tooling and equipment, “specially designed” for the “production” of items in ECCN 0A602 or USML Category II."
0,B,"0B604_b_ through w",[Reserved]
0,B,0B604_x,"“Parts,” “components,” “accessories,” and “attachments” that are “specially designed” for a commodity subject to control in paragraph .a of this ECCN."
0,B,"0B614_b_ throughw",[Reserved]
0,B,0B614_x,"“Parts,” “components,” “accessories” and “attachments” that are “specially designed” for a commodity controlled by ECCN 0B614."
0,B,0B617_b,[Reserved]
0,B,0B999,"Specific Processing Equipment, as Follows (See List of Items Controlled)."
0,B,0B999_a,"Hot cells;"
0,B,0B999_b,"Glove boxes suitable for use with radioactive materials."
0,C,0C606,"Materials “specially designed” for commodities controlled by ECCN 0A606 not elsewhere specified in the USML (see List of Items Controlled)."
0,C,0C617,"Miscellaneous Materials “Specially Designed” for Military Use (see List of Items Controlled)."
0,C,0C617_b,[Reserved]
0,D,0D001_Items,"The List of Items Controlled is contained in the ECCN heading."
0,D,0D501,"“Software” “specially designed” for the “development,” “production,” operation, or maintenance of commodities controlled by 0A501 or 0B501."
0,D,0D501_Items,"The list of items controlled is contained in this ECCN heading."
0,D,0D505,"“Software” “specially designed” for the “development,” “production,” operation, or maintenance of commodities controlled by 0A505 or 0B505."
0,D,0D505_Items,"The list of items controlled is contained in this ECCN heading."
0,D,0D602_Items,"“Software” “specially designed” for the “development,” “production,” operation, or maintenance of commodities controlled by ECCN 0A602 and ECCN 0B602."
0,D,0D604_a,"“Software” “specially designed” for the “development,” “production,” operation, or maintenance of commodities controlled by ECCN 0A604 or 0B604."
0,D,0D604_b,[Reserved]
0,D,"0D606_b_ through x",[Reserved]
0,D,0D606_y,"“Specific software” “specially designed” for the “production,” “development,” operation, or maintenance of commodities described in ECCN 0A606.y."
0,D,0D614,"“Software” related to military training “equipment,” as follows (see List of Items Controlled)."
0,D,0D614_a,"“Software” “specially designed” for the “development,” “production,” operation, or maintenance of commodities controlled by ECCNs 0A614 or 0B614."
0,D,0D614_b,[Reserved]
0,D,"0D617_b_ to x",[Reserved].
0,D,0D617_y,"Specific “software” “specially designed” for the “production,” “development,” operation or maintenance of commodities controlled by ECCN 0A617.y."
0,D,0D977,"“Software” “specially designed” for the “development,” “production” or “use” of commodities controlled by 0A977."
0,D,0D977_Items,"The list of items controlled is contained in the ECCN heading."
0,D,0D999,"Specific Software, as Follows (See List of Items Controlled)."
0,D,0D999_a,"Software for neutronic calculations/modeling;"
0,D,0D999_b,"Software for radiation transport calculations/modeling;"
0,D,0D999_c,"Software for hydrodynamic calculations/modeling."
0,E,0E001,"“Technology,” according to the Nuclear Technology Note, for the “development,” “production,” or “use” of items described in 0A002, or 0D001."
0,E,0E001_Items,"The List of Items Controlled is contained in the ECCN heading."
0,E,0E501_a,"“Technology” “required” for the “development” or “production” of commodities controlled by ECCN 0A501 (other than 0A501.y) or 0B501."
0,E,0E502,"“Technology” “required” for the “development” or “production” of commodities controlled by 0A502."
0,E,0E502_Items,"The list of items controlled is contained in the ECCN heading."
0,E,0E504_Items,"The list of items controlled is contained in the ECCN heading."
0,E,0E505_Items,"The list of items controlled is contained in this ECCN heading."
0,E,0E604_b,[Reserved]
0,E,"0E606_b_ through x",[Reserved]
0,E,0E614,"“Technology,” as follows (see List of Items Controlled)."
0,E,0E614_b,[Reserved]
0,E,"0E617_b_ through x",[Reserved].
0,E,0E977,"“Technology” “required” for the “development” or “production” of commodities controlled by 0A977."
0,E,0E977_Items,"The list of items controlled is contained in the ECCN heading."
0,E,0E982,"“Technology” exclusively for the “development” or “production” of equipment controlled by 0A982 or 0A503."
0,E,0E982_Items,"The list of items controlled is contained in the ECCN heading."
1,A,1A001,"“Parts” and “components” made from fluorinated compounds, as follows (see List of Items Controlled)."
1,A,1A001_b,[Reserved]
1,A,1A002,"“Composite” structures or laminates, as follows (see List of Items Controlled)."
1,A,1A002_a,"Made from any of the following:"
1,A,1A002_a_1,"An organic “matrix” and “fibrous or filamentary materials” specified by 1C010.c or 1C010.d; or"
1,A,1A002_a_2,"Prepregs or preforms specified by 1C010.e;"
1,A,1A002_b,"Made from a metal or carbon “matrix”, and any of the following:"
1,A,1A002_b_1,"Carbon “fibrous or filamentary materials” having all of the following:"
1,A,1A002_b_1_a,"A “specific modulus” exceeding 10.15 x 106 m; and"
1,A,1A002_b_1_b,"A “specific tensile strength” exceeding 17.7 x 104 m; or"
1,A,1A002_b_2,"Materials controlled by 1C010.c."
1,A,1A003,"Manufactures of non-“fusible” aromatic polyimides in film, sheet, tape or ribbon form having any of the following (see List of Items Controlled)."
1,A,1A003_a,"A thickness exceeding 0.254 mm; or"
1,A,1A003_b,"Coated or laminated with carbon, graphite, metals or magnetic substances."
1,A,1A004,"Protective and Detection Equipment and “Components,” Not “Specially Designed” for Military Use, as Follows (See List of Items Controlled)."
1,A,1A004_a_1,"'Biological agents';"
1,A,1A004_a_2,"'Radioactive materials;'"
1,A,1A004_a_3,"Chemical warfare (CW) agents; or"
1,A,1A004_a_4,"'Riot control agents', as follows:"
1,A,1A004_a_4_a,"?-Bromobenzeneacetonitrile, (Bromobenzyl cyanide) (CA) (CAS 5798-79-8);"
1,A,1A004_a_4_b,"[(2-chlorophenyl) methylene] propanedinitrile, (o-Chlorobenzylidenemalononitrile) (CS) (CAS 2698-41-1);"
1,A,1A004_a_4_c,"2-Chloro-1-phenylethanone, Phenylacyl chloride (?-chloroacetophenone) (CN) (CAS 532-27-4);"
1,A,1A004_a_4_d,"Dibenz-(b,f)-1,4-oxazephine, (CR) (CAS 257-07-8);"
1,A,1A004_a_4_e,"10-Chloro-5, 10-dihydrophenarsazine, (Phenarsazine chloride), (Adamsite), (DM) (CAS 578-94-9);"
1,A,1A004_a_4_f,"N-Nonanoylmorpholine, (MPA) (CAS 5299-64-9);"
1,A,"1A004_a_Technical Notes","Technical Notes
For the purpose of 1A004.a:
1. Full face masks are also known as gas masks.
2. Filter canisters include filter cartridges."
1,A,1A004_b,"Protective suits, gloves and shoes, “specially designed” or modified for defense against any of the following:"
1,A,1A004_b_1,"'Biological agents';"
1,A,1A004_b_2,"'Radioactive materials;' or"
1,A,1A004_b_3,"Chemical warfare (CW) agents;"
1,A,1A004_c_1,"'Biological agents';"
1,A,1A004_c_2,"'Radioactive materials;' or"
1,A,1A004_c_3,"Chemical warfare (CW) agents;"
1,A,"1A004_d_Note 1","Note 1
1A004.d does not apply to equipment “specially designed” for laboratory use."
1,A,"1A004_d_Note 2","Note 2
1A004.d does not apply to non-contact walk-through security portals."
1,A,"1A004_d_Technical Note","Technical Note
'Trace detection' is defined as the capability to detect less than 1 ppm vapor, or 1 mg solid or liquid."
1,A,1A005,"Body armor and “specially designed” “components” therefor, as follows (see List of Items Controlled)."
1,A,1A005_a,"Soft body armor not manufactured to military standards or specifications, or to their equivalents, and “specially designed” “components” therefor;"
1,A,1A005_b,"Hard body armor plates that provide ballistic protection less than NIJ level III (NIJ 0101.06, July 2008) or “equivalent standards”."
1,A,1A006_a,"Remotely operated vehicles;"
1,A,1A006_b,'Disruptors'.
1,A,1A006_b_Note,"Note
1A006 does not apply to equipment when accompanying its operator."
1,A,"1A006_License Requirement","License Requirement Note
1A006 does not apply to equipment when accompanying its operator."
1,A,1A007_a,"Explosive detonator firing sets designed to drive explosive detonators specified by 1A007.b;"
1,A,1A007_b,"Electrically driven explosive detonators as follows:"
1,A,1A007_b_1,"Exploding bridge (EB);"
1,A,1A007_b_2,"Exploding bridge wire (EBW);"
1,A,1A007_b_3,Slapper;
1,A,1A007_b_4,"Exploding foil initiators (EFI)."
1,A,1A008,"Charges, Devices and “Components,” as Follows (See List of Items Controlled)."
1,A,1A008_a,"'Shaped charges' having all of the following:"
1,A,1A008_a_1,"Net Explosive Quantity (NEQ) greater than 90 g; and"
1,A,1A008_a_2,"Outer casing diameter equal to or greater than 75 mm;"
1,A,1A008_b,"Linear shaped cutting charges having all of the following, and “specially designed” “components” therefor:"
1,A,1A008_b_1,"An explosive load greater than 40 g/m; and"
1,A,1A008_b_2,"A width of 10 mm or more;"
1,A,1A008_c,"Detonating cord with explosive core load greater than 64 g/m;"
1,A,1A008_d,"Cutters, not specified by 1A008.b, and severing tools, having a NEQ greater than 3.5 kg."
1,A,"1A008_d_Technical Note","Technical Note
'Shaped charges' are explosive charges shaped to focus the effects of the explosive blast."
1,A,1A101_Items,"The list of items controlled is contained in the ECCN heading."
1,A,1A202_a,"An inside diameter of between 75 mm and 400 mm; and"
1,A,1A202_b,"Made with any of the “fibrous or filamentary materials” specified in 1C010.a or .b or 1C210.a or with carbon prepreg materials specified in 1C210.c."
1,A,1A225_Items,"The list of items controlled is contained in the ECCN heading."
1,A,1A226_a,"Made of phosphor bronze mesh chemically treated to improve wettability; and"
1,A,1A226_b,"Designed to be used in vacuum distillation towers."
1,A,1A227_a,"A “cold area” greater than 0.09 m2;"
1,A,1A227_b,"A density greater than 3 g/cm3; and"
1,A,1A227_c,"A thickness of 100 mm or greater."
1,A,1A231,"Target assemblies and components for the production of tritium as follows (See List of Items Controlled):"
1,A,1A231_b,"Components “specially designed” for the target assemblies specified in item a."
1,A,1A290_Items,"The list of items controlled is contained in the ECCN heading"
1,A,1A607_a,"through d. [Reserved]"
1,A,1A607_e,"“Equipment” “specially designed” for military use and for the dissemination of any of the riot control agents controlled in ECCN 1C607.a."
1,A,1A607_f,"Protection “equipment” (including air conditioning units, protective coatings, and protective clothing):"
1,A,1A607_f_1,"Not controlled by USML Category XIV(f); and"
1,A,1A607_f_2,"“Specially designed” for military use and for defense against:"
1,A,1A607_f_2_1,"Materials specified by USML Category XIV (a) or (b); or"
1,A,1A607_f_2_2,"Riot control agents controlled in 1C607.a."
1,A,1A607_g,"Decontamination “equipment”:"
1,A,1A607_g_1,"Not controlled by USML Category XIV(f); and"
1,A,1A607_g_2,"“Specially designed” for military use and for decontamination of objects contaminated with materials controlled by USML Category XIV(a) or (b)."
1,A,1A607_h,“Equipment”:
1,A,1A607_h_1,"Not controlled by USML Category XIV(f); and"
1,A,1A607_h_2,"“Specially designed” for military use and for the detection or identification of:"
1,A,1A607_h_2_1,"Materials specified by USML Category XIV(a) or (b); or"
1,A,1A607_h_2_2,"Riot control agents controlled by ECCN 1C607.a."
1,A,1A607_i,[Reserved]
1,A,1A607_j,"“Equipment” “specially designed” to:"
1,A,1A607_j_1,"Interface with a detector, shelter, vehicle, vessel, or aircraft controlled by the USML or a “600 series” ECCN; and"
1,A,1A607_j_2,"Collect and process samples of articles controlled in USML Category XIV(a) or (b)."
1,A,"1A607_l_ through w",[Reserved]
1,A,1A613,"Armored and protective “equipment” and related commodities, as follows (see List of Items Controlled)."
1,A,1A613_a,"Metallic or non-metallic armored plate “specially designed” for military use and not controlled by the USML."
1,A,1A613_a_Note,"Note to paragraph a
For controls on body armor plates, see ECCN 1A613.d.2 and USML Category X(a)(1)."
1,A,1A613_b,"Shelters “specially designed” to:"
1,A,1A613_b_1,"Provide ballistic protection for military systems; or"
1,A,1A613_b_2,"Protect against nuclear, biological, or chemical contamination."
1,A,1A613_c,"Military helmets (other than helmets controlled under 1A613.y.1) providing less than NIJ Type IV or “equivalent standards” protection."
1,A,1A613_d,"Body armor and protective garments, as follows:"
1,A,1A613_d_1_Note,"Note
For 1A613.d.1, military standards or specifications include, at a minimum, specifications for fragmentation protection."
1,A,1A613_d_2,"Hard body armor plates that provide ballistic protection equal to NIJ level III (NIJ 0101.06, July 2008) or “equivalent standards”."
1,A,1A613_e,"Atmospheric diving suits “specially designed” for rescue operations for submarines controlled by the USML or the CCL."
1,A,1A613_f,"Other personal protective “equipment” “specially designed” for military applications not controlled by the USML, not elsewhere controlled on the CCL."
1,A,"1A613_g_ to w",[Reserved]
1,A,"1A613_N_B_ to paragraph","y.1: For other military helmet “components” or “accessories,” see the relevant ECCN in the CCL or USML Entry."
1,A,1A613_Note,"1A613.y.1 does not apply to helmets that meet all the following:"
1,A,1A613_y,"Other commodities as follows:"
1,A,1A613_y_1,"Conventional military steel helmets."
1,A,1A613_y_2,[Reserved]
1,A,1A984_Items,"The list of items controlled is contained in the ECCN heading."
1,A,1A985,"Fingerprinting powders, dyes, and inks."
1,A,1A985_Items,"The list of items controlled is contained in the ECCN heading."
1,A,1A995_a,"Personal radiation monitoring dosimeters;"
1,A,1A999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)."
1,A,1A999_a,"Radiation detection, monitoring and measurement equipment, n.e.s.;"
1,A,1A999_b,"Radiographic detection equipment such as x-ray converters, and storage phosphor image plates."
1,B,"1B001_c_Technical Note","Technical Note
For the purposes of 1B001.c the technique of interlacing includes knitting."
1,B,1B001_d,"Equipment “specially designed” or adapted for the production of reinforcement fibers, as follows:"
1,B,1B001_d_2,"Equipment for the chemical vapor deposition of elements or compounds, on heated filamentary substrates, to manufacture silicon carbide fibers;"
1,B,1B001_d_3,"Equipment for the wet-spinning of refractory ceramics (such as aluminum oxide);"
1,B,1B001_d_4,"Equipment for converting aluminum containing precursor fibers into alumina fibers by heat treatment;"
1,B,1B001_e,"Equipment for producing prepregs controlled by 1C010.e by the hot melt method;"
1,B,1B001_f,"Non-destructive inspection equipment “specially designed” for “composite” materials, as follows:"
1,B,1B001_f_1,"X-ray tomography systems for three dimensional defect inspection;"
1,B,1B002,"Equipment designed to produce metal alloy powder or particulate materials and having any of the following (see List of Items Controlled)."
1,B,1B002_a,"“Specially designed” to avoid contamination; and"
1,B,1B002_b,"“Specially designed” for use in one of the processes specified by 1C002.c.2."
1,B,1B003_a,"Airframe or aerospace structures;"
1,B,1B003_b,"“Aircraft” or aerospace engines; or"
1,B,1B003_c,"“Specially designed” “parts” and “components” for structures specified by 1B003.a or for engines specified by 1B003.b."
1,B,1B018,"Items on the Wassenaar Arrangement Munitions List (see List of Items Controlled)."
1,B,1B018_a,[Reserved]
1,B,1B018_b,[Reserved]
1,B,1B101_c,"Equipment designed or modified for the “production” of “fibrous or filamentary materials” as follows:"
1,B,1B101_c_2,"Equipment for the vapor deposition of elements or compounds on heated filament substrates; and"
1,B,1B101_c_3,"Equipment for the wet-spinning of refractory ceramics (such as aluminum oxide);"
1,B,1B101_d,"Equipment designed or modified for special fiber surface treatment or for producing prepregs and preforms controlled by 9A110."
1,B,1B101_d_Note,"Note
Equipment covered in 1B101.d includes but is not limited to, rollers, tension stretchers, coating equipment, cutting equipment and clicker dies."
1,B,1B102,"Metal powder “production equipment,” other than that specified in 1B002, and “parts” and “components” as follows (see List of Items Controlled)."
1,B,1B102_b,"“Specially designed” “parts” and “components” for “production equipment” specified in 1B002 or 1B102.a."
1,B,"1B115_b_Note 1","Note 1
[Reserved]"
1,B,"1B115_b_Note 2","Note 2
1B115 does not control equipment for the “production,” handling and acceptance testing of boron carbide."
1,B,1B116_Items,"The list of items controlled is contained in the ECCN heading"
1,B,1B117,"Batch mixers having all of the following (see List of Items Controlled), and “specially designed” “parts” and “components” therefor."
1,B,1B117_a,"Capable of mixing under vacuum in the range from zero to 13.326 kPa;"
1,B,1B117_b,"Capable of controlling the temperature of the mixing chamber;"
1,B,1B117_c,"A total volumetric capacity of 110 liters (30 gallons) or more; and"
1,B,1B117_d,"At least one 'mixing/kneading shaft' mounted off center."
1,B,1B117_d_Note,"Note to paragraph d
In 1B117.d. the term 'mixing/kneading shaft' does not refer to deagglomerators or knife-spindles."
1,B,1B118,"Continuous mixers having all of the following (see List of Items Controlled), and “specially designed” “parts” and “components” therefor."
1,B,1B118_a,"Capable of mixing under vacuum in the range from zero to 13.326 kPa;"
1,B,1B118_b,"Capable of controlling the temperature of the mixing chamber; and"
1,B,1B118_c,"Either of the following:"
1,B,1B118_c_1,"Two or more mixing/kneading shafts; or"
1,B,1B118_c_2,"A single rotating and oscillating shaft with kneading teeth/pins as well as kneading teeth/pins inside the casing of the mixing chamber."
1,B,1B119_Items,"The list of items controlled is contained in the ECCN heading."
1,B,1B201_a,"Filament winding machines having all of the following characteristics:"
1,B,1B201_a_1,"Having motions for positioning, wrapping, and winding fibers coordinated and programmed in two or more axes;"
1,B,1B201_a_2,"“Specially Designed” to fabricate composite structures or laminates from “fibrous or filamentary materials”; and"
1,B,1B201_a_3,"Capable of winding cylindrical tubes with an internal diameter between 75 mm and 650 mm and lengths of 300 mm or greater;"
1,B,1B201_b,"Coordinating and programming controls for filament winding machines controlled by 1B201.a;"
1,B,1B201_c,"Precision mandrels for filament winding machines controlled by 1B201.a."
1,B,1B225,"Electrolytic cells for fluorine production with a production capacity greater than 250 g of fluorine per hour."
1,B,1B225_Items,"The list of items controlled is contained in the ECCN heading."
1,B,1B226_Items,"The list of items controlled is contained in the ECCN heading."
1,B,1B228,"Hydrogen cryogenic distillation columns having all of the characteristics described in this ECCN (see List of Items Controlled)."
1,B,1B228_a,"Designed to operate with internal temperatures of 35 K (?238 °C) or less;"
1,B,1B228_b,"Designed to operate at an internal pressure of 0.5 to 5 MPa (5 to 50 atmospheres);"
1,B,1B228_c,"Constructed of “fine-grain stainless steels” of the 300 series with low sulphur content or equivalent cryogenic and H2-compatible materials; and"
1,B,1B228_d,"With internal diameters of 30 cm or greater and “effective lengths” of 4 m or greater."
1,B,1B229,"Water-hydrogen sulfide exchange tray columns and “internal contactors”, as follows (see List of Items Controlled)."
1,B,1B229_a,"Water-hydrogen sulfide exchange tray columns, having all of the following characteristics:"
1,B,1B229_a_1,"Can operate at pressures of 2 MPa or greater;"
1,B,1B229_a_2,"Constructed of carbon steel having an austenitic ASTM (or equivalent standard) grain size number of 5 or greater; and"
1,B,1B229_a_3,"With a diameter of 1.8 m (6 ft.) or greater;"
1,B,1B229_b,"“Internal contactors” for the water-hydrogen sulfide exchange tray columns controlled by 1B229.a."
1,B,1B230_a,"Airtight (i.e., hermetically sealed);"
1,B,1B230_b,"A capacity greater than 8.5 m3/h; and"
1,B,1B230_c,"Either of the following characteristics:"
1,B,1B230_c_1,"For concentrated potassium amide solutions (1% or greater), an operating pressure of 1.5 to 60 MPa (15-600 atmospheres); or"
1,B,1B230_c_2,"For dilute potassium amide solutions (less than 1%), an operating pressure of 20 to 60 MPa (200-600 atmospheres)."
1,B,1B231,"Tritium facilities or plants, and equipment therefor, as follows (see List of Items Controlled)."
